Kraj,Liga,ID
World,UEFA Europa League,3
World,UEFA Europa Conference League,848
World,UEFA Champions League,2
World,UEFA Super Cup,531
World,FIFA Club World Cup,15
Poland,Ekstraklasa,106
Poland,I Liga,107
Poland,II Liga - East,109
England,Premier League,39
England,League Two,42
England,Championship,40
England,League One,41
England,National League,43
England,FA Trophy,47
Spain,La Liga,140
Spain,Segunda División,141
Spain,Primera División RFEF - Group 2,436
Spain,Primera División RFEF - Group 1,435
Spain,Segunda División RFEF - Group 1,875
Spain,Segunda División RFEF - Group 2,876
Spain,Segunda División RFEF - Group 3,877
Spain,Segunda División RFEF - Group 4,878
Spain,Segunda División RFEF - Group 5,879
Spain,Copa del Rey,143
Italy,Serie A,135
Italy,Coppa Italia,137
Italy,Serie B,136
Italy,Serie C - Girone A,138
Italy,Serie C - Girone B,942
Italy,Serie C - Girone C,943
Germany,Bundesliga,78
Germany,2. Bundesliga,79
Germany,3. Liga,80
Germany,DFB Pokal,81
France,Ligue 1,61
France,Ligue 2,62
France,National 1,63
France,Coupe de France,66
Portugal,Primeira Liga,94
Portugal,Segunda Liga,95
Belgium,Challenger Pro League,145
Belgium,Jupiler Pro League,144
Netherlands,Eredivisie,88
Netherlands,Eerste Divisie,89
Turkey,1. Lig,204
Turkey,Süper Lig,203
Algeria,Ligue 1,186
Saudi-Arabia,Pro League,307
Saudi-Arabia,Division 1,308
Argentina,Primera Nacional,129
Argentina,Liga Profesional Argentina,128
Armenia,Premier League,342
Australia,A-League,188
Australia,Australian Championship,1202
Austria,2. Liga,219
Austria,Bundesliga,218
Azerbaijan,Premyer Liqa,419
Belarus,1. Division,117
Belarus,Premier League,116
Bolivia,Primera División,344
Brazil,Serie B,72
Brazil,Serie A,71
Bulgaria,First League,172
Chile,Primera División,265
China,Super League,169
Croatia,First NL,211
Croatia,HNL,210
Cyprus,1. Division,318
Czech-Republic,FNL,346
Czech-Republic,Czech Liga,345
Denmark,Superliga,119
Denmark,1. Division,120
Egypt,Premier League,233
Ecuador,Liga Pro,242
Estonia,Meistriliiga,329
Ethiopia,Premier League,363
Greece,Super League 1,197
Greece,Super League 2,494
Guatemala,Liga Nacional,339
Honduras,Liga Nacional,234
Indonesia,Liga 1,274
Iraq,Iraqi League,542
Iran,Azadegan League,291
Northern-Ireland,Championship,407
Japan,J1 League,98
Japan,J2 League,99
Qatar,Stars League,305
Colombia,Primera A,239
Colombia,Primera B,240
South-Korea,K League 1,292
South-Korea,K League 2,293
Costa-Rica,Primera División,162
Lithuania,1 Lyga,361
Luxembourg,National Division,261
Mexico,Liga MX,262
Mexico,Liga de Expansión MX,263
Norway,Eliteserien,103
Norway,1. Division,104
New-Zealand,National League - National,955
Panama,Liga Panameña de Fútbol,304
Paraguay,Division Profesional - Clausura,252
Peru,Primera División,281
South-Africa,Premier Soccer League,288
Romania,Liga II,284
Romania,Liga I,283
Serbia,Super Liga,286
Slovakia,Super Liga,332
Slovakia,2. liga,506
Slovenia,1. SNL,373
Scotland,Premiership,179
Scotland,Championship,180
Scotland,League One,183
Switzerland,Challenge League,208
Switzerland,Super League,207
Sweden,Superettan,114
Sweden,Allsvenskan,113
Thailand,Thai League 1,296
Trinidad-And-Tobago,Pro League,591
Uganda,Premier League,585
Ukraine,Premier League,333
Uruguay,Primera División - Apertura,268
Uruguay,Segunda División,269
Uruguay,Primera División - Clausura,270
USA,Major League Soccer,253
Hungary,NB I,271
Uzbekistan,Super League,369
Wales,Premier League,110
United-Arab-Emirates,Pro League,301
Albania,1st Division,311
Angola,Girabola,397
Bahrain,Premier League,417
Andorra,1a Divisió,312
Botswana,Premier League,412
Burundi,Ligue A,566
Ghana,Premier League,570
India,Calcutta Premier Division,1020
Montenegro,First League,355
Georgia,Erovnuli Liga,327
Hong-Kong,Premier League,380
Kenya,FKF Premier League,276
Lebanon,Premier League,390
Macedonia,First League,371
Macedonia,Second League,372
Malaysia,Super League,278
Rwanda,National Soccer League,405
El-Salvador,Primera Division,370
Ireland,First Division,358
Singapore,Premier League,368
Tanzania,Ligi kuu Bara,567
Zambia,Super League,400
Israel,Liga Leumit,382
Jamaica,Premier League,322
Jordan,League,387
Malta,Premier League,393
Mauritania,Premier League,762
Nigeria,NPFL,399
Oman,Professional League,406
Chile,Segunda División,711
Cyprus,2. Division,319
Portugal,Liga 3,865
Serbia,Prva Liga,287
Thailand,Thai League 2,297
United-Arab-Emirates,Division 1,303
