Kraj,Liga,Superbet,Flashscore
Albania,1st Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/albania/kategoria-superiore/?ct=m,https://www.flashscore.pl/pilka-nozna/albania/super-liga/
Algeria,Ligue 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/algieria/ligue-1/?ct=m,https://flashscore.pl/pilka-nozna/algieria/ligue-1/
Andorra,1a Divisió,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/andora/primera-divisio/?ct=m,https://flashscore.pl/pilka-nozna/andora/primera-divisio/
Angola,Girabola,,https://www.flashscore.pl/pilka-nozna/angola/girabola-league/
Argentina,Liga Profesional Argentina,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/argentyna/primera-division-clausura-playoff/?ct=m,https://flashscore.pl/pilka-nozna/argentyna/primera-division-clausura-playoff/
Argentina,Primera Nacional,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/argentyna/primera-nacional-playoff/,https://flashscore.pl/pilka-nozna/argentyna/primera-nacional-playoff/
Armenia,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/armenia/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/armenia/premier-league/
Australia,A-League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/australia/a-league/?ct=m,https://flashscore.pl/pilka-nozna/australia/a-league/
Australia,Australian Championship,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/australia/australian-championship/?ct=m,https://flashscore.pl/pilka-nozna/australia/australian-championship/
Austria,2. Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/austria/2liga/?ct=m,https://flashscore.pl/pilka-nozna/austria/2liga/
Austria,Bundesliga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/austria/bundesliga/?ct=m,https://flashscore.pl/pilka-nozna/austria/bundesliga/
Azerbaijan,Premyer Liqa,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/azerbejdzan/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/azerbejdzan/premier-league/
Bahrain,Premier League,,
Belarus,1. Division,,
Belarus,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/bialorus/vysshaya-league/?ct=m,https://flashscore.pl/pilka-nozna/bialorus/vysshaya-league/
Belgium,Challenger Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/belgia/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/belgia/pro-league/
Belgium,Jupiler Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/belgia/challenger-pro-league/,https://flashscore.pl/pilka-nozna/belgia/challenger-pro-league/
Bolivia,Primera DivisiĂłn,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/boliwia/liga-profesional-apertura/?ct=m,https://flashscore.pl/pilka-nozna/boliwia/liga-profesional-apertura/
Bolivia,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/boliwia/liga-profesional-apertura/?ct=m,https://flashscore.pl/pilka-nozna/boliwia/liga-profesional-apertura/
Botswana,Premier League,,
Brazil,Serie A,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/brazylia/brasileiro-serie-a/?ct=m,https://flashscore.pl/pilka-nozna/brazylia/brasileiro-serie-a/
Brazil,Serie B,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/brazylia/brasileiro-superbet-serie-b/?ct=m,https://flashscore.pl/pilka-nozna/brazylia/brasileiro-superbet-serie-b/
Bulgaria,First League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/bulgaria/parva-liga/?ct=m,https://flashscore.pl/pilka-nozna/bulgaria/parva-liga/
Burundi,Ligue A,,
Chile,Primera DivisiĂłn,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chile/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/chile/primera-division/
Chile,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chile/primera-division/?ct=m,https://flashscore.pl/pilka-nozna/chile/primera-division/
Chile,Segunda División,,
China,Super League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chiny/super-league/,https://flashscore.pl/pilka-nozna/chiny/super-league/
Colombia,Primera A,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kolumbia/primera-a-clausura/?ct=m,https://flashscore.pl/pilka-nozna/kolumbia/primera-a-clausura/
Colombia,Primera B,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kolumbia/primera-a-clausura/?ct=m,https://flashscore.pl/pilka-nozna/kolumbia/primera-a-clausura/
Costa-Rica,Primera DivisiĂłn,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kostaryka/primera-division-apertura/?ct=m,https://flashscore.pl/pilka-nozna/kostaryka/primera-division-apertura/
Costa-Rica,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/kostaryka/primera-division-apertura/?ct=m,https://flashscore.pl/pilka-nozna/kostaryka/primera-division-apertura/
Croatia,First NL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chorwacja/prva-nl/?ct=m,https://flashscore.pl/pilka-nozna/chorwacja/prva-nl/
Croatia,HNL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/chorwacja/hnl/?ct=m,https://flashscore.pl/pilka-nozna/chorwacja/hnl/
Cyprus,1. Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/cypr/1-division/?ct=m,https://flashscore.pl/pilka-nozna/cypr/1-division/
Cyprus,2. Division,,
Czech-Republic,Czech Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/czechy/1-liga/,https://flashscore.pl/pilka-nozna/czechy/1-liga/
Czech-Republic,FNL,,
Denmark,1. Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/dania/1division/?ct=m,https://flashscore.pl/pilka-nozna/dania/1division/
Denmark,Superliga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/dania/superliga/?ct=m,https://flashscore.pl/pilka-nozna/dania/superliga/
Ecuador,Liga Pro,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/ekwador/serie-a-grmistrzowska/,https://flashscore.pl/pilka-nozna/ekwador/serie-a-grmistrzowska/
Egypt,Premier League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rozgrywki,https://flashscore.pl/pilka-nozna/rozgrywki
El-Salvador,Primera Division,,
England,Championship,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/anglia/championship/?ct=m,https://flashscore.pl/pilka-nozna/anglia/championship/
